Time [s],V [mV]
17.66666667,1647.1163
17.68333333,1754.6432
17.7,1871.9453
17.71666667,1959.9218
17.73333333,2038.1232
17.75,2116.3245
17.76666667,2214.0762
17.78333333,2341.1535
17.8,2365.5914
17.81666667,2140.7625
17.83333333,1749.7556
17.85,1290.3226
17.86666667,850.4399
17.88333333,503.4213
17.9,263.9296
17.91666667,122.1896
17.93333333,68.4262
17.95,68.4262
17.96666667,68.4262
17.98333333,68.4262
18,68.4262
18.01666667,73.3138
18.03333333,78.2014
18.05,87.9765
18.06666667,122.1896
18.08333333,161.2903
18.1,205.2786
18.11666667,244.3793
18.13333333,234.6041
18.15,200.391
18.16666667,161.2903
18.18333333,127.0772
18.2,102.6393
18.21666667,87.9765
18.23333333,78.2014
18.25,73.3138
18.26666667,78.2014
18.28333333,78.2014
18.3,83.089
18.31666667,102.6393
18.33333333,131.9648
18.35,219.9413
18.36666667,293.2551
18.38333333,342.131
18.4,371.4565
18.41666667,391.0068
18.43333333,410.5572
18.45,434.9951
18.46666667,454.5455
18.48333333,483.871
18.5,518.0841
18.51666667,566.9599
18.53333333,615.8358
18.55,650.0489
18.56666667,664.7116
18.58333333,679.3744
18.6,669.5992
18.61666667,645.1613
18.63333333,610.9482
18.65,591.3978
18.66666667,586.5103
18.68333333,703.8123
18.7,943.304
18.71666667,1207.2336
18.73333333,1427.175
18.75,1637.3412
18.76666667,1788.8563
18.78333333,1876.8328
18.8,1969.697
18.81666667,2096.7742
18.83333333,2194.5259
18.85,2248.2893
18.86666667,2248.2893
18.88333333,2243.4018
18.9,2209.1887
18.91666667,2052.7859
18.93333333,1739.9804
18.95,1353.8612
18.96666667,977.5171
18.98333333,654.9365
19,405.6696
19.01666667,229.7165
19.03333333,117.3021
19.05,68.4262
19.06666667,68.4262
19.08333333,68.4262
19.1,73.3138
19.11666667,68.4262
19.13333333,68.4262
19.15,68.4262
19.16666667,87.9765
19.18333333,122.1896
19.2,151.5152
19.21666667,180.8407
19.23333333,190.6158
19.25,175.9531
19.26666667,151.5152
19.28333333,122.1896
19.3,102.6393
19.31666667,83.089
19.33333333,78.2014
19.35,68.4262
19.36666667,68.4262
19.38333333,68.4262
19.4,68.4262
19.41666667,68.4262
19.43333333,73.3138
19.45,73.3138
19.46666667,73.3138
19.48333333,73.3138
19.5,78.2014
19.51666667,73.3138
19.53333333,73.3138
19.55,87.9765
19.56666667,102.6393
19.58333333,122.1896
19.6,127.0772
19.61666667,122.1896
