Time [s],V [mV],,,
10.86666667,2170.088,,,
10.88333333,2331.3783,,,
10.9,2468.2307,,,
10.91666667,2595.3079,,,
10.93333333,2751.7107,,,
10.95,2908.1134,,,
10.96666667,3108.5044,,,
10.98333333,3313.783,,,
11,3528.8368,,,
11.01666667,3734.1153,,,
11.03333333,3914.956,,,
11.05,4076.2463,,,
11.06666667,4257.087,,,
11.08333333,4452.5904,,,
11.1,4687.1945,,,
11.11666667,4936.4614,,,
11.13333333,5000,,,
11.15,4755.6207,,,
11.16666667,3812.3167,,,
11.18333333,2531.7693,,,
11.2,1656.8915,,,
11.21666667,1094.8192,,,
11.23333333,738.0254,,,
11.25,503.4213,,,
11.26666667,356.7937,,,
11.28333333,259.042,,,
11.3,200.391,,,
11.31666667,161.2903,,,
11.33333333,136.8524,,,
11.35,117.3021,,,
11.36666667,107.5269,,,
11.38333333,97.7517,,,
11.4,92.8641,,,
11.41666667,92.8641,,,
11.43333333,92.8641,,,
11.45,92.8641,,,
11.46666667,92.8641,,,
11.48333333,92.8641,,,
11.5,92.8641,,,
11.51666667,92.8641,,,
11.53333333,97.7517,,,
11.55,92.8641,,,
11.56666667,92.8641,,,
11.58333333,92.8641,,,
11.6,92.8641,,,
11.61666667,92.8641,,,
11.63333333,97.7517,,,
11.65,97.7517,,,
11.66666667,97.7517,,,
11.68333333,97.7517,,,
11.7,102.6393,,,
11.71666667,102.6393,,,
11.73333333,117.3021,,,
11.75,156.4027,,,
11.76666667,210.1662,,,
11.78333333,298.1427,,,
11.8,410.5572,,,
11.81666667,552.2972,,,
11.83333333,708.6999,,,
11.85,860.2151,,,
11.86666667,1006.8426,,,
11.88333333,1158.3578,,,
11.9,1300.0978,,,
11.91666667,1441.8377,,,
11.93333333,1617.7908,,,
11.95,1808.4066,,,
11.96666667,2003.9101,,,
11.98333333,2199.4135,,,
12,2390.0293,,,
12.01666667,2575.7576,,,
12.03333333,2756.5982,,,
12.05,2922.7761,,,
12.06666667,3059.6285,,,
12.08333333,3206.2561,,,
12.1,3352.8837,,,
12.11666667,3509.2864,,,
12.13333333,3680.3519,,,
12.15,3880.7429,,,
12.16666667,4081.1339,,,
12.18333333,4281.5249,,,
12.2,4481.9159,,,
12.21666667,4638.3187,,,
12.23333333,4535.6794,,,
12.25,3885.6305,,,
12.26666667,2707.7224,,,
12.28333333,1769.306,,,
12.3,1168.1329,,,
12.31666667,777.1261,,,
12.33333333,532.7468,,,
12.35,371.4565,,,
12.36666667,273.7048,,,
12.38333333,205.2786,,,
12.4,166.1779,,,
12.41666667,136.8524,,,
12.43333333,122.1896,,,
12.45,107.5269,,,
12.46666667,102.6393,,,
12.48333333,97.7517,,,
12.5,92.8641,,,
12.51666667,87.9765,,,
12.53333333,92.8641,,,
12.55,87.9765,,,
12.56666667,87.9765,,,
12.58333333,92.8641,,,
12.6,92.8641,,,
12.61666667,92.8641,,,
12.63333333,92.8641,,,
12.65,92.8641,,,
12.66666667,92.8641,,,
12.68333333,97.7517,,,
12.7,92.8641,,,
12.71666667,92.8641,,,
12.73333333,92.8641,,,
12.75,92.8641,,,
12.76666667,92.8641,,,
12.78333333,102.6393,,,
12.8,97.7517,,,
12.81666667,107.5269,,,
12.83333333,117.3021,,,
12.85,141.74,,,
12.86666667,200.391,,,
12.88333333,273.7048,,,
12.9,400.782,,,
12.91666667,591.3978,,,
12.93333333,816.2268,,,
12.95,1041.0557,,,
12.96666667,1217.0088,,,
12.98333333,1363.6364,,,
13,1476.0508,,,
13.01666667,1568.915,,,
13.03333333,1686.217,,,
13.05,1798.6315,,,
13.06666667,1915.9335,,,
13.08333333,2043.0108,,,
13.1,2194.5259,,,
13.11666667,2370.479,,,
13.13333333,2575.7576,,,
13.15,2766.3734,,,
13.16666667,2952.1017,,,
13.18333333,3108.5044,,,
13.2,3225.8065,,,
13.21666667,3328.4457,,,
13.23333333,3460.4106,,,
13.25,3631.4761,,,
13.26666667,3831.8671,,,
13.28333333,4027.3705,,,
13.3,4213.0987,,,
13.31666667,4389.0518,,,
13.33333333,4545.4545,,,
13.35,4662.7566,,,
13.36666667,4623.6559,,,
13.38333333,4139.7849,,,
13.4,3054.741,,,
13.41666667,1994.1349,,,
13.43333333,1309.8729,,,
13.45,874.8778,,,
13.46666667,591.3978,,,
13.48333333,410.5572,,,
13.5,298.1427,,,
13.51666667,219.9413,,,
13.53333333,171.0655,,,
13.55,146.6276,,,
13.56666667,127.0772,,,
13.58333333,117.3021,,,
13.6,107.5269,,,
13.61666667,97.7517,,,
13.63333333,92.8641,,,
13.65,92.8641,,,
13.66666667,87.9765,,,
13.68333333,92.8641,,,
13.7,92.8641,,,
13.71666667,87.9765,,,
13.73333333,87.9765,,,
13.75,92.8641,,,
13.76666667,87.9765,,,
13.78333333,87.9765,,,
13.8,87.9765,,,
13.81666667,87.9765,,,
13.83333333,87.9765,,,
13.85,92.8641,,,
13.86666667,92.8641,,,
13.88333333,97.7517,,,
13.9,97.7517,,,
13.91666667,97.7517,,,
13.93333333,97.7517,,,
13.95,97.7517,,,
13.96666667,102.6393,,,
13.98333333,127.0772,,,
14,200.391,,,
14.01666667,303.0303,,,
14.03333333,395.8944,,,
14.05,498.5337,,,
14.06666667,610.9482,,,
14.08333333,747.8006,,,
14.1,874.8778,,,
14.11666667,1021.5054,,,
14.13333333,1168.1329,,,
14.15,1334.3109,,,
14.16666667,1500.4888,,,
14.18333333,1691.1046,,,
14.2,1876.8328,,,
14.21666667,2028.348,,,
14.23333333,2170.088,,,
14.25,2306.9404,,,
